"","GEOID","SFHA","Flood.Factor"
"143","01097006103",0.06,0.082857143
"144","01097006104",0.041393584,0.092790617
"145","01097006105",0.049440994,0.09515528
"146","01097006200",0.017131805,0.082895828
"147","01097006301",0.009197651,0.061056751
"148","01097006302",0.005706522,0.052173913
"149","01097006402",0.013157895,0.101973684
"150","01097006403",0.010858835,0.057255676
"151","01097006404",0.001321586,0.047136564
"152","01097006405",0.017208413,0.06500956
"153","01097006406",0.006449879,0.050524053
"154","01097006407",0.015835313,0.070731064
"155","01097006501",0.012084593,0.078549849
"156","01097006502",0.013936203,0.076803964
"157","01097006600",0.050665801,0.10945112
"158","01097006701",0.022118743,0.062281723
"159","01097006702",0.017790262,0.075842697
"160","01097006801",0.003268864,0.056660311
"161","01097006802",0.00998004,0.045908184
"162","01097006901",0.019061584,0.089809384
"163","01097006902",0.012630015,0.068350669
"164","01097007000",0.485403549,0.793360046
"165","01097007101",0.014499758,0.042049299
"166","01097007102",0.053426875,0.106314085
"167","01097007103",0.162434995,0.300091771
"168","01097007201",0.116352201,0.164779874
"169","01097007202",0.71567515,0.835953963
"170","01097007300",0.643639207,0.815954119
"171","01097007400",0.160856269,0.444648318
"172","01097007500",0.097323601,0.207623682
"173","01097007600",0.071243523,0.141839378
"174","01097007700",0.100797679,0.180565627
"175","01097990000",0,0
"176","01099075600",0.032061069,0.149007634
"177","01099075700",0.152474527,0.235443959
"178","01099075900",0.012731482,0.08587963
"179","01099076200",0.172571905,0.221342226
"180","01129043900",0.090630885,0.184792844
"181","01129044000",0.058205032,0.130867443
"182","01129044100",0.129164531,0.171706817
"183","01129044200",0.101110597,0.147848218
"184","01129044300",0.07589488,0.142727685
"185","01131034700",0.221276596,0.265106383
"186","01131034800",0.155054192,0.222074762
"187","01131035100",0.168575233,0.1563249
"188","01131035200",0.118536009,0.167178276
"189","12001000200",0.004490058,0.01411161
"190","12001000301",0.013032146,0.006950478
"191","12001000302",0.043181818,0.058333333
"192","12001000400",0.092523364,0.107009346
"193","12001000500",0.021182266,0.022167488
"194","12001000600",0.00780379,0.065774805
"195","12001000700",0.048574115,0.075211532
"196","12001000806",0.237288136,0.265536723
"197","12001000808",0.104956268,0.116618076
"198","12001000809",0.064864865,0.037837838
"199","12001000901",0,0.2
"200","12001000902",0.05,0.05
"201","12001001000",0.046511628,0.066511628
"202","12001001100",0.0260631,0.095336077
"203","12001001201",0.025280899,0.048689139
"204","12001001202",0.016387846,0.035165586
"205","12001001203",0.035885167,0.051036683
"206","12001001400",0.064377683,0.062660944
"207","12001001514",0,0.086206897
"208","12001001515",0.008695652,0.017391304
"209","12001001516",0.046783626,0.040935673
"210","12001001517",0.077294686,0.09178744
"211","12001001519",0.047619048,0.05952381
"212","12001001520",0.149377594,0.058091286
"213","12001001521",0.112012987,0.224025974
"214","12001001603",0.179080824,0.267828843
"215","12001001604",0.111918605,0.292877907
"216","12001001701",0.031664964,0.048518897
"217","12001001702",0.008959044,0.04052901
"218","12001001801",0.045360045,0.090531091
"219","12001001802",0.096099491,0.096664782
"220","12001001803",0.036749116,0.04770318
"221","12001001805",0.007677543,0.291746641
"222","12001001806",0.007231041,0.153791887
"223","12001001811",0.163278689,0.047213115
"224","12001001813",0.033844189,0.04916986
"225","12001001814",0.096922069,0.094957433
"226","12001001902",0.380252101,0.121848739
"227","12001001907",0.151096282,0.08293613
"228","12001001908",0.201228429,0.083357707
"229","12001002000",0.143421919,0.076433121
"230","12001002101",0.207043109,0.102610808
"231","12001002102",0.136536031,0.073324905
"232","12001002201",0,0.133561644
"233","12001002202",0,0.183426966
"234","12001002204",0.015400844,0.096624473
"235","12001002205",0.062198068,0.153381643
"236","12001002207",0.093133923,0.104690687
"237","12001002208",0.046836483,0.101889893
"238","12001002209",0.061288869,0.151194232
"239","12001002210",0.007160648,0.193960149
"240","12001002217",0.18313253,0.255421687
"241","12001002218",0.017402945,0.001338688
"242","12001002219",0.072505385,0.066762383
"243","12001002220",0.076487252,0.18319169
"244","12001110800",0.034770515,0.11821975
"245","12003040201",0.172375994,0.162510277
"246","12005000201",0.172576177,0.090027701
"247","12005000202",0.413247863,0.556410256
"248","12005000300",0.129193984,0.097056177
"249","12005000400",0.277683495,0.226559185
"250","12005000500",0.323857424,0.253444129
"251","12005000600",0.354850608,0.457026927
"252","12005000700",0.727272728,0.454545455
"253","12005000803",0.076007326,0.121336996
"254","12005000804",0.121212121,0.106060606
"255","12005000805",0.062098501,0.05620985
"256","12005000806",0.365644171,0.594478528
"257","12005000900",0.132400933,0.185081585
"258","12005001000",0.051304348,0.069565217
"259","12005001100",0.068077803,0.06979405
"260","12005001200",0.129361702,0.090212766
"261","12005001301",0.147402336,0.061216271
"262","12005001302",0.192406692,0.083976834
"263","12005001402",0.121717029,0.260943236
"264","12005001403",0.422121897,0.871331828
"265","12005001404",0.16616085,0.53983308
"266","12005001501",0.269652651,0.361974406
"267","12005001502",0.215012722,0.105597964
"268","12005001600",0.07001045,0.123824451
"269","12005001700",0.050761421,0.056472081
"270","12005001800",0.111856824,0.176733781
"271","12005001900",0.130534003,0.162482885
"272","12005002000",0.121338912,0.158995816
"273","12005002200",0.095751855,0.134187458
"274","12005002300",0.179735234,0.261201629
"275","12005002400",0.149505526,0.354275742
"276","12005002500",0.267763157,0.515131579
"277","12005002601",0.705058366,0.842801556
"278","12005002603",0.278630461,0.118654073
"279","12005002604",0.081461435,0.229499323
"280","12005002605",0.393406593,0.231648352
"281","12005002606",0.210420032,0.378836834
"282","12005002607",0.248888888,0.455353535
"283","12005002608",0.398371336,0.566449511
"284","12005002701",0.258948137,0.283235939
"285","12005002702",0.217491369,0.120061373
"286","12005002703",0.309761723,0.185498335
"287","12005002704",0.098369951,0.185542169
"288","12005002705",0.274376418,0.146420473
"289","12007000100",0.14474118,0.144081767
"290","12007000200",0.204096928,0.098176368
"291","12007000300",0.21497671,0.08957363
"292","12007000400",0.178935004,0.16523101
"293","12011010102",0.168048229,0.980406933
"294","12011010103",0.270951993,0.947111473
"295","12011010104",0.174418605,0.299418605
"296","12011010200",0.420176297,0.445151812
"297","12011010304",0.286157024,0.277892562
"298","12011010305",0.583473861,0.225969646
"299","12011010306",0.116216216,0.157657658
"300","12011010307",0.356153846,0.345384615
"301","12011010308",0.316599732,0.236947791
"302","12011010401",0.069781554,0.191747573
"303","12011010402",0.064434618,0.083385976
"304","12011010403",0.109631602,0.028850422
"305","12011010405",0.221186856,0.203531143
"306","12011010406",0.040502793,0.140363128
"307","12011010407",0.052843483,0.14745848
"308","12011010502",0.062054934,0.200406918
"309","12011010503",0.388558855,0.440484048
"310","12011010504",0.268823529,0.211176471
"311","12011010601",0.344839489,0.287193649
"312","12011010603",0.089498806,0.223150358
"313","12011010604",0.032478633,0.28974359
"314","12011010605",0.065826331,0.179738562
"315","12011010606",0.013203215,0.207233065
"316","12011010607",0.027447393,0.183440073
"317","12011010609",0.050137362,0.199175824
"318","12011010610",0.254460823,0.26609775
"319","12011010611",0.154013015,0.20318149
"320","12011010612",0.072263549,0.236981934
"321","12011010701",0.261687571,0.126567845
"322","12011010702",0.129587155,0.240825688
"323","12011010800",0.045605307,0.194029851
"324","12011010901",0.269911504,0.974557522
"325","12011010902",0.295112782,0.87406015
"326","12011011000",0.53030303,0.257575758
"327","12011020101",0.037011173,0.076117318
"328","12011020103",0.056559309,0.193244305
"329","12011020104",0.075110456,0.207658321
"330","12011020204",0.052851182,0.289986092
"331","12011020205",0.044600939,0.182511737
"332","12011020206",0.016449623,0.089102125
"333","12011020207",0.084532374,0.204436451
"334","12011020209",0.08,0.223030303
"335","12011020210",0.04603464,0.206016408
"336","12011020211",0.002293578,0.149082569
"337","12011020212",0.095492743,0.213903743
"338","12011020302",0.085436893,0.24012945
"339","12011020308",0.025384615,0.257692308
"340","12011020309",0.043973942,0.281758958
"341","12011020311",0.115702479,0.165289256
"342","12011020312",0.171514544,0.441323972
"343","12011020313",0.053052326,0.236918605
"344","12011020314",0.024199288,0.353736655
"345","12011020315",0.023668639,0.312869822
"346","12011020316",0.015873016,0.357142857
"347","12011020317",0.016184971,0.403468208
"348","12011020318",0.080789277,0.289650037
"349","12011020319",0.010231924,0.510914052
"350","12011020320",0.034158839,0.298035867
"351","12011020321",0.186440678,0.347457627
"352","12011020322",0.194,0.401
"353","12011020323",0.072368422,0.353618421
"354","12011020324",0.096911608,0.320553781
"355","12011020325",0.012311902,0.283173735
"356","12011020326",0.082762912,0.260734287
"357","12011020404",0.031304348,0.220869565
"358","12011020405",0.959359606,0.395935961
"359","12011020406",0.00574933,0.308164048
"360","12011020407",0.01563981,0.151184834
"361","12011020409",0.56902357,0.148989899
"362","12011020411",0.664003994,0.254618073
"363","12011020412",0.003759398,0.186716792
"364","12011020413",0.015735641,0.13375295
"365","12011020414",0.251417769,0.199432892
"366","12011020415",0.016405135,0.207560628
"367","12011020501",0.094091904,0.195477753
"368","12011020502",0.070119157,0.347846013
"369","12011030100",0.323049001,0.975196612
"370","12011030201",0.121466769,0.23605806
"371","12011030202",0.14084507,0.247484909
"372","12011030203",0.149575441,0.382103201
"373","12011030301",0.057742782,0.162729659
"374","12011030302",0.331606218,0.353128737
"375","12011030401",0.06324473,0.13015582
"376","12011030402",0.484476534,0.467148014
"377","12011030500",0.260534429,0.407502569
"378","12011030600",0.206148282,0.36437613
"379","12011030702",0.019955654,0.17405765
"380","12011030703",0.023219815,0.03869969
"381","12011030704",0.120939875,0.09122322
"382","12011030705",0.39192399,0.080760095
"383","12011030801",0.502847844,0.677786819
"384","12011030802",0.109467456,0.109467456
"385","12011030902",0.378399378,0.421134421
"386","12011030903",0.346793349,0.785035629
"387","12011030904",0.034192825,0.450672646
"388","12011031001",0.125115848,0.206672845
"389","12011031002",0.685185185,0.518518519
"390","12011031101",0.268599033,0.927536232
"391","12011031102",0.533386967,0.944489139
"392","12011031202",0.63364486,0.479439252
"393","12011031203",0.920792079,0.178217822
"394","12011031204",0.885122411,0.834274953
"395","12011031205",0.86013986,0.921328671
"396","12011040101",0.335185186,0.257407407
"397","12011040102",0.4,0.213756614
"398","12011040203",0.329563812,0.232633279
"399","12011040204",0.581545064,0.5
"400","12011040205",0.031382016,0.372963186
"401","12011040206",0.10186092,0.277179236
"402","12011040300",0.089713844,0.251353442
"403","12011040401",0.587188612,0.460854093
"404","12011040402",0.236700077,0.244410177
"405","12011040502",0.683029453,0.441795231
"406","12011040503",0.23373494,0.16626506
"407","12011040504",0.317647059,0.211764706
"408","12011040601",0.860780985,0.953310696
"409","12011040602",0.396630934,0.4762634
"410","12011040701",0.646799117,0.301692421
"411","12011040702",0.266666667,0.365833333
"412","12011040801",0.220661157,0.140495868
"413","12011040802",0.693974272,0.358158429
"414","12011040901",0.097771388,0.102084831
"415","12011040902",0.162852113,0.270246479
"416","12011041000",0.212765957,0.230851064
"417","12011041100",0.183621567,0.443540183
"418","12011041200",0.043478261,0.238761975
"419","12011041300",0.0832,0.3012
"420","12011041400",0.490180675,0.478397486
"421","12011041500",0.631578947,0.575275398
"422","12011041600",0.203898051,0.507496252
"423","12011041700",0.764290755,0.488355681
"424","12011041801",0.363417569,0.419975933
"425","12011041802",0.360410094,0.384858044
"426","12011041900",0.45133438,0.401098901
"427","12011042000",0.968055556,0.995833333
"428","12011042100",0.728132387,0.791962175
"429","12011042200",0.530474041,0.910835214
"430","12011042301",0.652536484,0.674774149
"431","12011042302",0.566442953,0.559731544
"432","12011042400",0.376163873,0.506517691
"433","12011042500",0.569444444,0.791666667
"434","12011042600",0.325806452,0.632795699
"435","12011042700",0.231207289,0.341685649
"436","12011042800",0.20990807,0.338610827
"437","12011042900",0.302407222,0.393179539
"438","12011043001",0.053793104,0.089655172
"439","12011043002",0.218283582,0.274253731
"440","12011043100",0.450910931,0.368927126
"441","12011043301",0.448589192,0.342419895
"442","12011043302",0.40806827,0.22420481
"443","12011050100",0.35067712,0.586600143
"444","12011050204",0.381528046,0.403288201
"445","12011050205",0.02618658,0.183306056
"446","12011050206",0.342143906,0.242290749
"447","12011050207",0.260817308,0.327524038
"448","12011050208",0.48976378,0.450393701
"449","12011050301",0.09470026,0.21068636
"450","12011050306",0.085981308,0.179439252
"451","12011050307",0.215240642,0.131016043
"452","12011050308",0.090076336,0.210687023
"453","12011050309",0.926829268,0.292682927
"454","12011050310",0.223908216,0.287194671
"455","12011050311",0.181318682,0.087912088
"456","12011050312",0.032258065,0.055299539
"457","12011050401",0.179962894,0.051948052
"458","12011050402",0.097834205,0.190440627
"459","12011050501",0.245540399,0.295383001
"460","12011050502",0.051630435,0.207201087
"461","12011050601",0.246062992,0.517060367
"462","12011050602",0.189267586,0.232052212
"463","12011050701",0.352212389,0.49380531
"464","12011050702",0.422102426,0.468463612
"465","12011050800",0.35015448,0.352214212
"466","12011050900",0.195266272,0.271696252
"467","12011051001",0.188016529,0.220041322
"468","12011051002",0.405163853,0.71102284
"469","12011060105",0.012738853,0.124203822
"470","12011060107",0.789420143,0.517802645
"471","12011060109",0.484104852,0.564974902
"472","12011060111",0.185794716,0.10610654
"473","12011060112",0.262872628,0.075880759
"474","12011060113",0.128765061,0.12311747
"475","12011060114",0.001080497,0.480821178
"476","12011060115",0.062555853,0.134048257
"477","12011060116",0.034256927,0.1697733
"478","12011060117",0.054393305,0.131799163
"479","12011060118",0.007963595,0.144482366
"480","12011060119",0.018838304,0.253793825
"481","12011060120",0.05814978,0.187665198
"482","12011060121",0.949963209,0.427888153
"483","12011060122",0.21860817,0.251134644
"484","12011060123",0.023148149,0.112654321
"485","12011060124",0.319196428,0.053571429
"486","12011060125",0.635960045,0.51054384
"487","12011060126",0.423051299,0.401732179
"488","12011060127",0.0625,0.233974359
"489","12011060128",0.124024961,0.110764431
"490","12011060203",0.032561505,0.974674385
"491","12011060206",0.005263158,0.294736842
"492","12011060207",0.012692657,0.498640073
"493","12011060208",0.013645224,0.97725796
"494","12011060209",0.002304147,0.989631336
"495","12011060210",0.005655042,0.171536287
"496","12011060211",0.064373898,0.097883598
"497","12011060212",0.00177305,0.265957447
"498","12011060213",0.014851485,0.126732673
"499","12011060302",0.013681592,0.957711443
"500","12011060303",0.01010101,0.973063973
"501","12011060304",0.122137405,0.979007634
"502","12011060305",0.029585799,0.177514793
"503","12011060306",0.153846154,0.105128205
"504","12011060401",0.027027027,0.571428571
"505","12011060402",0.078833693,0.3412527
"506","12011060403",0.119329389,0.537475345
"507","12011060501",0.111325611,0.979407979
"508","12011060503",0.016504126,0.074268567
"509","12011060504",0.016741071,0.172991071
"510","12011060505",0.032327586,0.963362069
"511","12011060603",0.024043716,0.2
"512","12011060605",0.08974359,0.992877493
"513","12011060606",0.171458999,0.915867945
"514","12011060607",0.009990917,0.983651226
"515","12011060608",0.060212515,0.73553719
"516","12011060609",0.009363296,0.662921348
"517","12011060700",0.09564394,0.956439394
"518","12011060801",0.13647343,0.394927536
"519","12011060802",0.103814884,0.632270169
"520","12011060900",0.074328544,0.724547158
"521","12011061001",0.031120332,0.712033195
"522","12011061002",0.140625,0.690972222
"523","12011061100",0.125251509,0.161468813
"524","12011070101",0.182200841,0.182200842
"525","12011070102",0.256854257,0.191919192
"526","12011070204",0.166015625,0.150390625
"527","12011070205",0.466019418,0.19538835
"528","12011070207",0.10585405,0.129911788
"529","12011070208",0.228668942,0.127133106
"530","12011070209",0.242972845,0.274892806
"531","12011070210",0.029057018,0.327302632
"532","12011070211",0.060945273,0.11380597
"533","12011070304",0.098884186,0.324355521
"534","12011070305",0.144427001,0.411302983
"535","12011070306",0.300548321,0.182659356
"536","12011070310",0.188841201,0.137339056
"537","12011070311",0.043263965,0.23932092
"538","12011070312",0.084892743,0.213144683
"539","12011070313",0.060606061,0.166513621
"540","12011070314",0.797094188,0.213927856
"541","12011070315",0.457627119,0.196712892
"542","12011070316",0.529411765,0.197176471
"543","12011070317",0.057131029,0.205340509
"544","12011070318",0.036815068,0.162671233
"545","12011070319",0.008672448,0.256170781
"546","12011070320",0.037778789,0.205279927
"547","12011070321",0.156903766,0.215481172
"548","12011070322",0.141041162,0.199152542
"549","12011070401",0.042857143,0.21991342
"550","12011070402",0.17518797,0.257142857
"551","12011070403",0.018980478,0.151301518
"552","12011070404",0.004374453,0.187226597
"553","12011070405",0.054488843,0.288012455
"554","12011070501",0.089201878,0.15258216
"555","12011070502",0.058823529,0.218230804
"556","12011070601",0.261248186,0.214078374
"557","12011070602",0.357073644,0.277131783
"558","12011080101",0.52244898,0.971428571
"559","12011080102",0.391221374,0.509541985
"560","12011080103",0.448398577,1
"561","12011080200",0.26231884,0.276811594
"562","12011080402",0.162913907,0.109271523
"563","12011080403",0.260869565,0.392803598
"564","12011080405",0.344394619,0.195515695
"565","12011080406",0.09277058,0.111575428
"566","12011080500",0.414198402,0.293370945
"567","12011090101",0.955613577,0.958224543
"568","12011090102",0.89953271,0.919003115
"569","12011090200",0.684570313,0.993164063
"570","12011090301",0.16017316,0.636363636
"571","12011090302",0.373401534,0.761636829
"572","12011090401",0.369533528,0.265306122
"573","12011090403",0.009070295,0.163265306
"574","12011090404",0.251879699,0.117794486
"575","12011090502",0.342631334,0.329614133
"576","12011090503",0.038208168,0.442687747
"577","12011090504",0.192616372,0.402889246
"578","12011090601",0.204570185,0.337323177
"579","12011090602",0.245175438,0.29254386
"580","12011090700",0.324557795,0.387083505
"581","12011090801",0.347112861,0.263779528
"582","12011090802",0.110659072,0.196094386
"583","12011090900",0.201349248,0.379865075
"584","12011091000",0.319371727,0.416230366
"585","12011091100",0.455160745,0.262267343
"586","12011091201",0.160331721,0.209398756
"587","12011091202",0.366847826,0.322690217
"588","12011091300",0.059541985,0.314503817
"589","12011091400",0.213683224,0.351452671
"590","12011091500",0.137020742,0.142677561
"591","12011091600",0.348765432,0.334104938
"592","12011091701",0.654059041,0.508302583
"593","12011091702",0.303910615,0.606703911
"594","12011091801",0.389820359,0.27005988
"595","12011091802",0.316037736,0.222641509
"596","12011091901",0.810041841,1
"597","12011091902",0.022286822,0.85755814
"598","12011092000",0.640625,0.995244565
"599","12011100101",0.909426987,0.987060998
"600","12011100103",0.937384899,0.987108656
"601","12011100104",0.988636364,1
"602","12011100105",0.677419356,0.870967742
"603","12011100201",0.215158924,0.975550122
"604","12011100202",0.991220369,1
"605","12011100300",0.37232906,0.548076923
"606","12011100400",0.241002571,0.188946015
"607","12011100501",0.18909091,0.294545455
"608","12011100502",0.303571428,0.246031746
"609","12011100600",0.002962085,0.041469194
"610","12011100700",0.114816218,0.270935961
"611","12011100801",0.148110316,0.229826353
"612","12011100802",0.369364162,0.322543353
"613","12011110100",0.341147132,0.430922693
"614","12011110301",0.049167927,0.173600605
"615","12011110302",0.030483532,0.143658024
"616","12011110303",0.102921647,0.177290837
"617","12011110307",0.00103146,0.490974729
"618","12011110308",0.012479653,0.128052089
"619","12011110309",0.00095511,0.172397326
"620","12011110311",0.006589786,0.084019769
"621","12011110312",0.009730208,0.278637771
"622","12011110313",0.028862479,0.501697793
"623","12011110319",0.009975062,0.196009975
"624","12011110320",0.004403347,0.158080141
"625","12011110321",0.248966942,0.728305785
"626","12011110322",0.018851998,0.972988182
"627","12011110323",0.038049941,0.309155767
"628","12011110324",0.047417931,0.084661163
"629","12011110325",0.025126398,0.104335836
"630","12011110326",0.013680782,0.157003257
"631","12011110327",0.119008264,0.17630854
"632","12011110328",0.027491409,0.222680412
"633","12011110330",0.028880867,0.165162455
"634","12011110331",0.052507375,0.074336283
"635","12011110332",0.048120301,0.066165414
"636","12011110333",0.029117775,0.090830074
"637","12011110334",0.267175573,0.290076336
"638","12011110335",0.169747899,0.038655462
"639","12011110336",0.022016222,0.123406721
"640","12011110337",0.0125,0.146875
"641","12011110338",0.015444015,0.085907336
"642","12011110339",0.015679443,0.316202091
"643","12011110340",0.00539707,0.153430995
"644","12011110341",0.017069701,0.096728307
"645","12011110342",0.025740651,0.355512385
"646","12011110343",0.133444816,0.440468227
"647","12011110402",0.013268156,0.441340782
"648","12011110403",0.000636943,0.530573248
"649","12011110404",0.069258809,0.493317132
"650","12011110501",0.331941545,0.496868476
"651","12011110502",0.205555556,0.569047619
"652","12011110600",0.765130984,0.470189702
"653","12011980000",0.010840108,0.775067751
"654","12013010100",0.1107161,0.101574403
"655","12013010200",0.139840637,0.113545817
"656","12013010300",0.263560656,0.122439793
"657","12015010100",0.074433195,0.347925282
"658","12015010200",0.301314086,0.741625023
"659","12015010301",0.980669145,0.998141264
"660","12015010302",0.994068388,0.991974878
"661","12015010401",0.998012916,0.99503229
"662","12015010402",0.999366286,1
"663","12015010403",0.998142415,1
"664","12015010404",0.996111278,0.998504337
"665","12015010501",0.078740157,0.423509561
"666","12015010502",0.230249041,0.42128877
"667","12015020101",0.048659608,0.286100473
"668","12015020103",0.139937107,0.35711478
"669","12015020104",0.028445006,0.165613148
"670","12015020201",0.014028777,0.134172662
"671","12015020202",0.017860069,0.494347042
"672","12015020301",0.038498823,0.846281678
"673","12015020302",0.245627981,0.999735029
"674","12015020303",0.35444509,1
"675","12015020400",0.479837262,0.997886004
"676","12015020501",0.995176849,0.999196141
"677","12015020502",0.999070631,0.999070632
"678","12015020601",0.832097458,0.999470339
"679","12015020602",0.932084309,1
"680","12015020700",0.046239837,1
"681","12015020800",0.079930495,0.989574283
"682","12015020900",0.222531847,0.991042994
"683","12015021001",0.392183908,0.992643678
"684","12015021002",0.28349735,0.800529902
"685","12015021003",0.915932203,0.994576271
"686","12015030100",0.514080287146794,0.993633913
"687","12015030200",0.099137436,0.803680276
"688","12015030301",0.986510473,0.991835286
"689","12015030302",0.763173652,0.99760479
"690","12015030401",0.646766169,0.887783306
"691","12015030402",0.995708154,0.962178112
"692","12015030501",0.997095994,0.995966658
"693","12015030502",0.897088353,0.9937249
"694","12015030503",0.727651594,0.987705772
"695","12015990000",0,0
"696","12017450101",0.009877519,0.107862505
"697","12017450102",0.192462988,0.11786195
"698","12017450201",0.006886375,0.095917364
"699","12017450202",0.035230352,0.118940078
"700","12017450302",0.001048979,0.104292746
"701","12017450303",0.355065879,0.736029078
"702","12017450304",0.008808599,0.154822335
"703","12017450400",0.138571278,0.26413511
"704","12017450500",0.961280127,0.988739629
